TrpNum;[LIVE GALLEYS] Delivery Area;Gen Instructions;Spc Instructions
505000;SOUTHPOINTE+KEY444;DISTRIBUTION CENTER #05 701 TECHNOLOGY DR;"CANONSBURG, PA 15317 DISTRICT 6000 - SOUTH ZONE"
505100;SOUTHPOINTE;DISTRIBUTION CENTER #05 701 TECHNOLOGY DR;"CANONSBURG, PA 15317 DISTRICT 6000 - WEST ZONE"
505150;SOUTHPOINTE;DISTRIBUTION CENTER #05 701 TECHNOLOGY DR.;"CANONSBURG, PA 15317 DISTRICT 1650 - WEST ZONE"
505200;SOUTHPOINTE;DISTRIBUTION CENTER #05 701 TECHNOLOGY DR;"CANONSBURG, PA 15317 DISTRICT 1650 - SOUTH ZONE"
505300;SOUTHPOINTE;DISTRIBUTION CENTER #05 701 TECHNOLOGY DR;"CANONSBURG, PA 15317 DISTRICT 6000 - SOUTH ZONE"
505400;SOUTHPOINTE;DISTRIBUTION CENTER #05 701 TECHNOLOGY DR.;"CANONSBURG, PA 15317 COORDINATOR"
506000;BETHEL PARK;DISTRIBUTION CENTER #06 5360 PROGRESS BLVD;"BETHEL PARK, PA 15102 DISTRICT 1500 - SOUTH ZONE"
506100;BETHEL PARK;DISTRIBUTION CENTER #06 5360 PROGRESS BLVD;"BETHEL PARK, PA 15102 DISTRICT 1550 - SOUTH ZONE"
506300;BETHEL PARK;DISTRIBUTION CENTER #06 5360 PROGRESS BLVD;"BETHEL PARK, PA 15102 COORDINATOR - REGULAR & SOUTH"
508000;WEST MIFFLIN;DISTRIBUTION CENTER #08 1044 THOMPSON RUN RD;"WEST MIFFLIN, PA 15122 DISTRICT 2000 - SOUTH ZONE"
508100;WEST MIFFLIN;DISTRIBUTION CENTER #08 1044 THOMPSON RUN RD;"WEST MIFFLIN, PA 15122 DISTRICT 2050 - SOUTH ZONE"
508200;WEST MIFFLIN;DISTRIBUTION CENTER #08 1044 THOMPSON RUN RD;"WEST MIFFLIN, PA 15122 DISTRICT 2200 - SOUTH ZONE"
508400;WEST MIFFLIN;DISTRIBUTION CENTER #08 1044 THOMPSON RUN RD;"WEST MIFFLIN, PA 15122 COORDINATOR - REGULAR & SOUTH"
508600;WEST MIFFLIN;DISTRIBUTION CENTER #08 1044 THOMPSON RUN RD;"WEST MIFFLIN, PA 15122 DISTRICT 2200 - EAST"
509000;DONORA+KEY009 724-379-8902;BRANCH #2 1298 MELDON AVE;DONORA PA 15033 ROUTE 6500 - SOUTH
509200;DONORA 724 379 8902;BRANCH #2 1298 MELDON AVE;DONORA PA 15033 DISTRICT 3590 - SOUTH
512100;EAST HILLS;DISTRIBUTION CENTER #12 2350 (E-F) ELDO RD BLDG #6;"MONROEVILLE, PA 15146 DISTRICT 2600 - EAST ZONE"
512200;EAST HILLS;DISTRIBUTION CENTER #12 2350 (E-F) ELDO RD BLDG #6;"MONROEVILLE, PA 15146 DISTRICT 2650 - EAST ZONE"
512300;EAST HILLS;DISTRIBUTION CENTER #12 2350 (E-F) ELDO RD BLDG #6;"MONROEVILLE, PA 15146 COORDINATOR - EAST ZONE"
513000;MONROEVILLE;DISTRIBUTION CENTER #13 2350 (E-F) ELDO ROAD-BLDG #5;"MONROEVILLE, PA 15146 DISTRICT 2700 - EAST ZONE"
513100;MONROEVILLE;DISTRIBUTION CENTER #13 2350 (E-F) ELDO ROAD-BLDG #5;"MONROEVILLE, PA 15146 DISTRICT 2250 - EAST ZONE"
513200;MONROEVILLE;DISTRIBUTION CENTER #13 2350 (E-F) ELDO ROAD-BLDG #5;"MONROEVILLE, PA 15146 DISTRICT 2800 - EAST ZONE"
513300;MONROEVILLE;DISTRIBUTION CENTER #13 2350 (E-F) ELDO ROAD-BLDG #5;"MONROEVILLE, PA 15146 COORDINATOR - EAST ZONE"
514000;TARENTUMEASTZONE +KEY112;BRANCH #5 - HOME DELIVERY 140 W FOURTH AVE;"TARENTUM, PA 15084"
515000;SHARPSBURG;DISTRIBUTION CENTER #15 160 23RD ST EXT;SHARPSBURG PA 15215 DISTRICT 2900 - NORTH ZONE
515100;SHARPSBURG;DISTRIBUTION CENTER #15 160 23RD ST EXT;SHARPSBURG PA 15215 COORDINATOR - REGULAR & NORTH
515200;SHARPSBURG;DISTRIBUTION CENTER #15 160 23RD ST EXT;"SHARPSBURG, PA 15215 DISTRICT 2450 - EAST"
515300;SHARPSBURG;DISTRIBUTION CENTER #15 160 23RD ST EXT;SHARPSBURG PA 15215 DISTRICT 2450 - NORTH ZONE
515400;SHARPSBURG;DISTRIBUTION CENTER #15 160 23RD ST.;"PITTSBURGH, PA 15215 (EAST ZONE)"
515500;SHARPSBURG;DISTRIBUTION CENTER #15 160 23RD ST.;"PITTSBURGH, PA 15215 (EAST ZONE)"
515600;SHARPSBURG;DISTRIBUTION CENTER #15 160 23RD ST.;"PITTSBURGH, PA 15215 (SOUTH ZONE)"
516100;GATEWAY VIEW PLAZA;"1600 WEST CARSON ST PITTSBURGH, PA 15219";DISTRICT 3050 - NORTH ZONE
516200;GATEWAY VIEW PLAZA;"1600 WEST CARSON ST PITTSBURGH, PA 15219";DISTRICT 3100 - NORTH ZONE
516300;GATEWAY VIEW PLAZA;"1600 WEST CARSON ST PITTSBURGH, PA 15219";COORDINATOR R&N
516400;GATEWAY VIEW PLAZA;"1600 WEST CARSON ST PITTSBURGH, PA 15219";
517000;ALLISON PARK;DISTRIBUTION CENTER #17 4721 HIGHPOINT DR-(LOT #2);"GIBSONIA, PA 15044 DISTRICT 3200 - NORTH ZONE"
517100;ALLISON PARK;DISTRIBUTION CENTER #17 4721 HIGHPOINT DR-(LOT #2);"GIBSONIA, PA 15044 DISTRICT 3250 - NORTH ZONE"
517200;ALLISON PARK;DISTRIBUTION CENTER #17 4721 HIGHPOINT DR-(LOT #2);"GIBSONIA, PA 15044 COORDINATOR - REGULAR & NORTH"
518000;CRANBERRY;DISTRIBUTION CENTER #18 230 EXECUTIVE DR;"CRANBERRY, PA 16066 NORTH ZONE"
518100;CRANBERRY;DISTRIBUTION CENTER #18 230 EXECUTIVE DR;"CRANBERRY, PA 16066 NORTH ZONE"
518200;CRANBERRY;DISTRIBUTION CENTER #18 230 EXECUTIVE DR;"CRANBERRY, PA 16066 NORTH ZONE"
839000;SERVICE COPIES;4* EDITION DEADHEADS-C/O KEY ROOM;
841000;POST REGULARS;SHORTAGE & RECOVERY PAPERS;
841001;POST NORTH ZONE;3* EDITION-(NORTH EDITION) SHORTAGE & RECOVERY PAPERS;
841002;POST SOUTH ZONE;3* EDITION-(SOUTH EDITION) SHORTAGE & RECOVERY PAPERS;
841003;POST EAST ZONE;3* LATE EDITION (EAST EDITION)MAILING ROOM-SEND TO KEY ROOM;AT 9:00AM FOR CIRC-RECOVERY PAPERS
841004;POST WEST ZONE;3* EDITION-(WEST EDITION) SHORTAGE & RECOVERY PAPERS;
841101;OFFICE USE & FILE;3* EDITION ADVERTISING OFFICE PERSON;DELIVERS THIS GALLEY ***CRAIG***
841105;OFFICE USE & FILE;3* EDITION DISPATCH OFFICE PERSON;
841109;OFFICE USE & FILE;3* EDITION POST EDITORIAL OFFICE PERSON;
841207;OFFICE USE & FILE;3* EDITION EDITORIAL DEPARTMENT;
841307;OFFICE USE & FILE;3* EDITION POST EDITORIAL DEPARTMENT;
842000;SERVICE COPIES;3* EDITION TRANSPORTATION-DEADHEADS;C/0 KEY ROOM
842116;EMPLOYEE COPIES;3* EDITION GIVE TO PERSON FROM THE;FOLLOWING DEPARTMENTS
844108;EMPLOYEE COPIES;3* EDITION POST EDITORIAL DEPARTMENT;GIVE TO OFFICE PERSON
844116;EMPLOYEE COPIES;3* EDITION PICKED UP BY LISTED DEPT.;
847003;POST NORTH ZONE;3* EDITION-(NORTH EDITION) ADVERTISING OFFICE PERSON;DELIVERS THIS GALLEY-PRESTON
847007;POST NORTH ZONE;3* EDITION-(NORTH EDITION) GIVE TO DISPATCH OFFICE PERSON;
847011;POST NORTH ZONE;3* EDITION-(NORTH EDITION) POST EDITORIAL OFFICE PERSON;
848007;POST SOUTH ZONE;3* EDITION-(SOUTH EDITION) DISPATCH OFFICE PERSON;
848011;POST SOUTH ZONE;3* EDITION-(SOUTH EDITION) GIVE TO OFFICE PERSON FROM;EDITORIAL DEPARTMENT
848013;POST SOUTH ZONE;3* EDITION-(SOUTH EDITION) GIVE TO PERSON FROM THE;FOLLOWING DEPARTMENT
849011;POST WEST ZONE;3* EDITION-(WEST EDITION) EDITORIAL OFFICE PERSON;
854000;OFFICE USE & FILE;4* EDITION POST EDITORIAL OFFICE PERSON;
854100;OFFICE USE & FILE;SOUTH EDITION POST LIBRARY DEPT.;
